Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to ICBs value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
93468,Proportion of GP registered populations by age group,,,E92000001,England,England,Persons,85+ yrs,,,2010,2.12482208255853,,,,,1168745,55004369.9937782,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,,,E92000001,England,England,Persons,65+ yrs,,,2010,15.7648474124725,,,,,8671354.99971093,55004369.9937782,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,,,E92000001,England,England,Persons,0-4 yrs,,,2010,5.86752834432076,,,,,3227397,55004369.9937782,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,,,E92000001,England,England,Persons,5-14 yrs,,,2010,11.2063186992183,,,,,6163965,55004369.9937782,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,,,E92000001,England,England,Persons,75+ yrs,,,2010,7.46802663206186,,,,,4107740.9999332,55004369.9937782,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,E54000061,NHS South Yorkshire Integrated Care Board - QF7,E38000006,South Yorkshire ICB - 02P ,ICB sub-locations,Persons,0-4 yrs,,,2010,5.76149683663294,,,,,14097,244676,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,E54000026,NHS Mid and South Essex Integrated Care Board - QH8,E38000007,Mid and South Essex ICB - 99E ,ICB sub-locations,Persons,0-4 yrs,,,2010,5.95704202575956,,,,,15656,262815,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board - QT1,E38000008,Nottingham and Nottinghamshire ICB - 02Q ,ICB sub-locations,Persons,0-4 yrs,,,2010,5.20614418818606,,,,,5772,110869,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,E54000048,NHS Lancashire and South Cumbria Integrated Care Board - QE1,E38000014,Lancashire and South Cumbria ICB - 00Q ,ICB sub-locations,Persons,0-4 yrs,,,2010,7.02839471464717,,,,,11750,167179,,,Not compared,Not compared,20100000,New data,,1y
93468,Proportion of GP registered populations by age group,E54000048,NHS Lancashire and South Cumbria Integrated Care Board - QE1,E38000015,Lancashire and South Cumbria ICB - 00R ,ICB sub-locations,Persons,0-4 yrs,,,2010,5.13038219079299,,,,,8822,171956,,,Not compared,Not compared,20100000,New data,,1y
