Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to ICBs value or percentiles,Time period Sortable,New data,Compared to goal,Time period range
94240,Deprivation score (IMD 2025),,,E92000001,England,England,Persons,All ages,,,2025,21.80951,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000008,NHS Cheshire and Merseyside Integrated Care Board - QYG,ICBs,Persons,All ages,,,2025,25.531,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board - QNC,ICBs,Persons,All ages,,,2025,20.392,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board - QOC",ICBs,Persons,All ages,,,2025,20.099,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000013,NHS Lincolnshire Integrated Care Board - QJM,ICBs,Persons,All ages,,,2025,22.239,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board - QK1",ICBs,Persons,All ages,,,2025,19.793,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000018,NHS Coventry and Warwickshire Integrated Care Board - QWU,ICBs,Persons,All ages,,,2025,19.975,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000019,NHS Herefordshire and Worcestershire Integrated Care Board - QGH,ICBs,Persons,All ages,,,2025,17.654,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000022,NHS Norfolk and Waveney Integrated Care Board - QMM,ICBs,Persons,All ages,,,2025,21.735,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000023,NHS Suffolk and North East Essex Integrated Care Board - QJG,ICBs,Persons,All ages,,,2025,19.708,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board - QHG",ICBs,Persons,All ages,,,2025,19.537,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000025,NHS Hertfordshire and West Essex Integrated Care Board - QM7,ICBs,Persons,All ages,,,2025,13.522,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000026,NHS Mid and South Essex Integrated Care Board - QH8,ICBs,Persons,All ages,,,2025,18.08,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000027,NHS North West London Integrated Care Board - QRV,ICBs,Persons,All ages,,,2025,23.635,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000028,NHS North Central London Integrated Care Board - QMJ,ICBs,Persons,All ages,,,2025,25.754,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000029,NHS North East London Integrated Care Board - QMF,ICBs,Persons,All ages,,,2025,26.334,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000030,NHS South East London Integrated Care Board - QKK,ICBs,Persons,All ages,,,2025,20.606,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000031,NHS South West London Integrated Care Board - QWE,ICBs,Persons,All ages,,,2025,15.604,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000032,NHS Kent and Medway Integrated Care Board - QKS,ICBs,Persons,All ages,,,2025,21.25,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000034,NHS Frimley Integrated Care Board - QNQ,ICBs,Persons,All ages,,,2025,12.359,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board - QT6,ICBs,Persons,All ages,,,2025,22.283,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000037,NHS Devon Integrated Care Board - QJK,ICBs,Persons,All ages,,,2025,20.141,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000038,NHS Somerset Integrated Care Board - QSL,ICBs,Persons,All ages,,,2025,19.137,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board - QUY",ICBs,Persons,All ages,,,2025,17.706,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board - QOX",ICBs,Persons,All ages,,,2025,14.281,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000041,NHS Dorset Integrated Care Board - QVV,ICBs,Persons,All ages,,,2025,16.905,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000042,NHS Hampshire and Isle of Wight Integrated Care Board - QRL,ICBs,Persons,All ages,,,2025,17.157,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000043,NHS Gloucestershire Integrated Care Board - QR1,ICBs,Persons,All ages,,,2025,15.146,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board - QU9",ICBs,Persons,All ages,,,2025,11.618,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000048,NHS Lancashire and South Cumbria Integrated Care Board - QE1,ICBs,Persons,All ages,,,2025,25.813,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000050,NHS North East and North Cumbria Integrated Care Board - QHM,ICBs,Persons,All ages,,,2025,27.871,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000051,NHS Humber and North Yorkshire Integrated Care Board - QOQ,ICBs,Persons,All ages,,,2025,20.858,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000052,NHS Surrey Heartlands Integrated Care Board - QXU,ICBs,Persons,All ages,,,2025,10.378,,,,,,,Value for successor ICB applied to this area,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000053,NHS Sussex Integrated Care Board - QNX,ICBs,Persons,All ages,,,2025,17.741,,,,,,,Value for successor ICB applied to this area,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000054,NHS West Yorkshire Integrated Care Board - QWO,ICBs,Persons,All ages,,,2025,27.808,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000055,NHS Birmingham and Solihull Integrated Care Board - QHL,ICBs,Persons,All ages,,,2025,34.77,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board - QUE,ICBs,Persons,All ages,,,2025,16.614,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000057,NHS Greater Manchester Integrated Care Board - QOP,ICBs,Persons,All ages,,,2025,29.6,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000058,NHS Derby and Derbyshire Integrated Care Board - QJ2,ICBs,Persons,All ages,,,2025,21.553,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000059,NHS Northamptonshire Integrated Care Board - QPM,ICBs,Persons,All ages,,,2025,17.483,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board - QT1,ICBs,Persons,All ages,,,2025,22.865,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000061,NHS South Yorkshire Integrated Care Board - QF7,ICBs,Persons,All ages,,,2025,29.11,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
94240,Deprivation score (IMD 2025),E92000001,England,E54000062,NHS Black Country Integrated Care Board - QUA,ICBs,Persons,All ages,,,2025,30.214,,,,,,,,Cannot be calculated,Not compared,Not compared,20250000,New data,,1y
