Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,,,E92000001,England,England,Persons,All ages,,,2015 Q1,164.86879,,,,,9066410,54991669,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E92000001,England,England,Persons,All ages,,,2015 Q1,164.86879,,,,,9066410,54991669,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000006,South Yorkshire ICB - 02P ,ICB sub-locations,Persons,All ages,,,2015 Q1,186.94081,,,,,44651,238851,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000007,Mid and South Essex ICB - 99E ,ICB sub-locations,Persons,All ages,,,2015 Q1,180.55141,,,,,47138,261078,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000008,Nottingham and Nottinghamshire ICB - 02Q ,ICB sub-locations,Persons,All ages,,,2015 Q1,190.17177,,,,,19574,102928,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000014,Lancashire and South Cumbria ICB - 00Q ,ICB sub-locations,Persons,All ages,,,2015 Q1,169.00972,,,,,28360,167801,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000015,Lancashire and South Cumbria ICB - 00R ,ICB sub-locations,Persons,All ages,,,2015 Q1,188.89046,,,,,30727,162671,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000016,Greater Manchester ICB - 00T ,ICB sub-locations,Persons,All ages,,,2015 Q1,182.20335,,,,,54573,299517,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000021,Sussex ICB - 09D ,ICB sub-locations,Persons,All ages,,,2015 Q1,124.67579,,,,,34706,278370,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000024,Greater Manchester ICB - 00V ,ICB sub-locations,Persons,All ages,,,2015 Q1,173.39824,,,,,32950,190025,,,Not compared,Not compared,20150100,,,3m
